Entry ID,Title,Phase 1,Phase 2,Phase 3,Affiliation,Section,Personnel,Geography,Keywords,Project Area Focus,Project Type,Project Status,Additional Keywords
278,Project 278 Title,True,True,False,Stanford University,"COLLECTIVE, NATURAL","Under 35 years old, LGBTQ leadership, Disability perspective",USA,CARE,South America,"Augmented Reality, Virtual Reality, or other Experience, Panel or Event",In Progress,"lnznqzxgte, exhwxcjrps, zbrnc, szugm, mclphkmz, bdyi, sacingqjaa, cotuwz, tcialsv"
279,Project 279 Title,True,True,False,MIT,"NATURAL, NATURAL INTELLIGENCE, COLLECTIVE","Under 35 years old, Student leadership",Australia,EDUCATION,Middle East and North Africa,"Other, Essay","Complete, unpublished","isrfakjwcn, vmyh, lmkocxfgai, dknz, pizyu, nbnxgoxrn, tyiez, webawuqa"
280,Project 280 Title,True,True,False,Stanford University,"NATURAL, COLLECTIVE","Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective, Student leadership",UK,ECOLOGY,Outer Space,Image or Drawing,"Complete, unpublished","dtqr, qzpbcefsx, yrdma, cvcy, pnxzknd, mvqtv, jyfwcwuz, ohwytxj"
281,Project 281 Title,True,True,False,INDEPENDENT,"COLLECTIVE, OUT, COLLECTIVE INTELLIGENCE","Disability perspective, Under 35 years old, Insights from the Global South",China,"SOLIDARITY, ENERGY, KNOWLEDGE","Middle East and North Africa, South America",Image or Drawing,Preliminary Proposal,"yygtaij, yhscgrtmp, agvfx, xsagxuwf, qjmnb, kvdqoyuodh"
282,Project 282 Title,True,True,False,INDEPENDENT,"COLLECTIVE INTELLIGENCE, COLLECTIVE","Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective",Brazil,TECHNOLOGY,"Caribbean, Asia",Outdoor Installation,Preliminary Proposal,"zyzhrbdxtb, jhxqjyhx, zvejncn, fodpkknt, uqoymw, hmovuux, utixnbbr, xbedremgkf, dxkhlrfm"
283,Project 283 Title,True,True,False,Oxford University,"ARTIFICIAL, OUT, END","Female leadership, Transnational (immigrant, refugee, multicultural) perspective, Student leadership",South Africa,"CONSTRUCTION, BODY, KNOWLEDGE",Caribbean,"Essay, Augmented Reality, Virtual Reality, or other Experience","Complete, unpublished","vxqpxnbj, bdurmxacp, xzqamjz, xfmdmsi, mmybwsjsl, dodc, xdxolzg"
284,Project 284 Title,True,True,False,MIT,NATURAL INTELLIGENCE,"LGBTQ leadership, Student leadership",UK,"SCIENCE, LABOR, CONSTRUCTION","Caribbean, Sub-Saharan Africa","Panel or Event, Augmented Reality, Virtual Reality, or other Experience",In Progress,"ijrbbwlyr, tjsclhdvb, hwwtwowvmz, swvo, egrhyfmnbu, kyku, zvmzcqvake, ygtraau, okuldppred, gkrd"
285,Project 285 Title,True,True,False,MIT,END,"Transnational (immigrant, refugee, multicultural) perspective",Australia,"LABOR, EDUCATION, CARE","Asia, Middle East and North Africa","Augmented Reality, Virtual Reality, or other Experience, Video",Preliminary Proposal,"uqbf, tfrrihfdq, bxhludcj, mpbnw, hcjhti, cfjeiua, xxtobczfn, kiec, yrogause, dcjcdxemjy"
286,Project 286 Title,True,True,False,Oxford University,"ARTIFICIAL INTELLIGENCE, INTRO, ARTIFICIAL","LGBTQ leadership, Female leadership",India,"BIOMIMICRY, SCIENCE",Middle East and North Africa,"Augmented Reality, Virtual Reality, or other Experience, Panel or Event","Complete, unpublished","lwmmn, mksro, gtzyaegw, fioypmmvnb, vhvibz, khcizvfil, nkiuayaju"
287,Project 287 Title,True,True,False,INDEPENDENT,"COLLECTIVE, NATURAL INTELLIGENCE, NATURAL",Disability perspective,Australia,CARBON,Europe,"Essay, Exhibition",In Progress,"plusin, dvqqhhvmhz, xxixvp, tznb, tzyfpfckh, jzuwekoc, xtgtuygyaw, iejkczc, psgyfo, bmozcspgre"
288,Project 288 Title,True,True,False,Stanford University,NATURAL,Female leadership,South Africa,ENERGY,"Planetary, Central America",Video,In Progress,"xyiephpvsc, ejybpaieu, zlsiroimk, wwvzfruu"
289,Project 289 Title,True,True,False,INDEPENDENT,INTRO,"Insights from the Global South, Under 35 years old",USA,KNOWLEDGE,Central America,Outdoor Installation,"Complete, published or exhibited before","hqnt, qlvdy, yvlvdaf, kdtwino, rqlnnbwtyw, duay, aybkdplnl, npbokxvvj, gidrvswc, cfyuhuuo"
290,Project 290 Title,True,True,False,Oxford University,"NATURAL, COLLECTIVE INTELLIGENCE","LGBTQ leadership, Disability perspective, Female leadership",Japan,"LABOR, URBAN",Non-Spatial or Dislocated,Other,In Progress,"lstqkuv, mixs, deradr, npfsbj, ioheqr, jzwst, mprmkxnhv, tolayxo, gkwhycpco, gxokax"
291,Project 291 Title,True,True,False,Stanford University,ARTIFICIAL INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective",Australia,"CARBON, BODY, BIOMIMICRY",Planetary,Video,Preliminary Proposal,"hfuzjxfb, iobcbtxdyh, sjnfjee, bmtsbzc, iybkvl, hncmoejuh, gixdb"
292,Project 292 Title,True,True,False,INDEPENDENT,"NATURAL INTELLIGENCE, COLLECTIVE, NATURAL","Under 35 years old, Disability perspective",South Africa,"TERRITORY, COMMONS, CONSTRUCTION","Oceans, Ice, and Atmosphere, Asia","Video, Exhibition","Complete, published or exhibited before","fmqzrqqzf, szxccoakn, yxmutryuvn, hyojwouaj, yznbyyalh, xuwtnelfr, ubalkb, hhwoxwwe, vmrqvbae, jxjl"
293,Project 293 Title,True,True,False,Oxford University,"COLLECTIVE, NATURAL, INTRO","Student leadership, Disability perspective, Under 35 years old",Brazil,"TRADITION, TECHNOLOGY, WASTE","South America, Planetary",Model or Maquette,"Complete, published or exhibited before","igllr, ffbrakqcp, pumffiuycn, rvdy, sqhr, lraaawoirl, ajjzmjjkca, najls, mkbnwfixv"
294,Project 294 Title,True,True,False,Stanford University,INTRO,"Female leadership, Disability perspective, Student leadership",Canada,"ENERGY, BIOMIMICRY",Europe,"Panel or Event, Model or Maquette","Complete, unpublished","vrbsj, uzwnee, fckopinbbq, lpcesgahx, tgqd, xufnzcaygx, ymalg"
295,Project 295 Title,True,True,False,Harvard University,"ARTIFICIAL, COLLECTIVE INTELLIGENCE",Insights from the Global South,UK,CARE,"Caribbean, Outer Space","Video, Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"pncsgukmoz, zeqwgvemwa, ltrg, zmaxmejda"
296,Project 296 Title,True,True,False,Oxford University,"COLLECTIVE, END","Disability perspective, Under 35 years old",South Africa,"COMMONS, BODY, BIOMIMICRY","Oceans, Ice, and Atmosphere, South America","Essay, Image or Drawing","Complete, published or exhibited before","wywdp, alafbi, iiluonym, hqylgam, ijucyckmy, ettld"
297,Project 297 Title,True,True,False,MIT,"NATURAL INTELLIGENCE, END","Female leadership, Transnational (immigrant, refugee, multicultural) perspective",Brazil,"PLANET, CARBON, LOGISTICS","Oceans, Ice, and Atmosphere, Central America","Augmented Reality, Virtual Reality, or other Experience, Exhibition",Preliminary Proposal,"rvzchx, tfwvfbk, qalxvw, dbioollcok, aovnfdpcn, hxzcvtyzu"
298,Project 298 Title,True,True,False,Harvard University,"NATURAL INTELLIGENCE, INTRO, COLLECTIVE INTELLIGENCE","Female leadership, Transnational (immigrant, refugee, multicultural) perspective",Germany,LABOR,Sub-Saharan Africa,Other,In Progress,"nkgfck, fcumc, crvptqmb, xfkxssvgf, jtcj, bdplyhzy, fhzkzilt, rqzvlhxaqk, smrsm, hdkdqhbbnn"
299,Project 299 Title,True,True,False,MIT,"NATURAL, COLLECTIVE","Disability perspective, Student leadership",Japan,ECOLOGY,Sub-Saharan Africa,Outdoor Installation,In Progress,"nduv, bytcolw, szxytcw, yyxqcsu, pfrzf"
300,Project 300 Title,True,True,False,Stanford University,"OUT, COLLECTIVE INTELLIGENCE, NATURAL","Under 35 years old, Disability perspective, Student leadership",Australia,"CONSTRUCTION, CARE, PLANET","Central America, Europe",Panel or Event,"Complete, unpublished","jtdvsz, alicblcrzi, jadspy, zxwokmw, lztrpbsvor, vsnu, bxzcnd, wihpl, yvhwjh"
301,Project 301 Title,True,True,False,Stanford University,"END, COLLECTIVE INTELLIGENCE","Female leadership, Insights from the Global South",South Africa,"EDUCATION, CONSTRUCTION, BODY",Planetary,"Augmented Reality, Virtual Reality, or other Experience, Panel or Event","Complete, published or exhibited before","yiuuexkbwd, icozmh, hznvuoe, bygm, bgbukcq, fdvm, nwny, osqoozlnm"
302,Project 302 Title,True,True,False,Harvard University,COLLECTIVE,"Female leadership, Student leadership, LGBTQ leadership",Germany,"MATERIALS, SCIENCE, COMMONS",Middle East and North Africa,Video,"Complete, unpublished","syfqis, lxtredkb, mntzntaj"
303,Project 303 Title,True,True,False,Oxford University,"NATURAL INTELLIGENCE, END, ARTIFICIAL INTELLIGENCE",LGBTQ leadership,Brazil,"TERRITORY, METHOD, PUBLIC","Caribbean, Asia",Outdoor Installation,Preliminary Proposal,"mqdoruc, iozetkiem, cgplaxn, zpvljauexz, bwxhagijgj, jekgcdidyl, hwbiouxpdh"
304,Project 304 Title,True,True,False,Stanford University,"NATURAL INTELLIGENCE, COLLECTIVE, OUT","Student leadership, Insights from the Global South",China,"COMMONS, JUSTICE","Oceans, Ice, and Atmosphere",Essay,Preliminary Proposal,"bibgjsm, gyubdjdz, ubnpnxqy, yzfuncq, dyaxn, jsjxrlqtij"
305,Project 305 Title,True,True,False,MIT,"NATURAL, END, INTRO","Under 35 years old, Student leadership, Disability perspective",Germany,"TRADITION, SCIENCE",Oceania,Exhibition,"Complete, unpublished","baqjl, imlcd, fucurj, qawninui"
306,Project 306 Title,True,True,False,MIT,"END, NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE",LGBTQ leadership,Brazil,TRADITION,"Non-Spatial or Dislocated, Sub-Saharan Africa","Image or Drawing, Essay","Complete, published or exhibited before","nufvkp, oxrxgqepb, iuaaaq, qqxj, biiehflt, wuxbjtbvf, orahyairg"
307,Project 307 Title,True,True,False,Harvard University,"ARTIFICIAL, NATURAL INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective, Female leadership",Japan,"LABOR, WASTE, TRADITION",Caribbean,Other,In Progress,"rwhsycs, jgdddbh, purk, jmpyxgg, loql"
308,Project 308 Title,True,True,False,INDEPENDENT,"NATURAL INTELLIGENCE, OUT, COLLECTIVE",Under 35 years old,Brazil,TERRITORY,"South America, Europe","Essay, Augmented Reality, Virtual Reality, or other Experience",In Progress,"kdiwpruzz, hocuznasrf, hcdcm, pvnrpst, mdgggbz, yslxset, xjmshy"
309,Project 309 Title,True,True,False,MIT,COLLECTIVE,LGBTQ leadership,USA,"BIOMIMICRY, CARBON, PRACTICE","Oceania, Caribbean","Model or Maquette, Other",In Progress,"kfjn, kdplmpfopc, smsd, jmpbflyq, yazccngv, uypjtew, mxliu, jmzwugocqb"
310,Project 310 Title,True,True,False,MIT,NATURAL,Under 35 years old,China,"COMMONS, METHOD, PRACTICE",Non-Spatial or Dislocated,"Essay, Model or Maquette","Complete, unpublished","mlfutnytl, tythel, rkwjkxnda, gwxj"
311,Project 311 Title,True,True,False,Oxford University,"COLLECTIVE INTELLIGENCE, OUT","LGBTQ leadership, Under 35 years old, Student leadership",China,"DIGITAL, BIOMIMICRY",Outer Space,Model or Maquette,"Complete, published or exhibited before","tvenxizx, dlmrur, afttb, mpffmmkc, tgubacr, odyt, vcabk, fpzmul, nfbkxh, sdyd"
312,Project 312 Title,True,True,False,Oxford University,ARTIFICIAL INTELLIGENCE,"Insights from the Global South, Student leadership, Female leadership",China,"LABOR, URBAN",Central America,"Video, Outdoor Installation",Preliminary Proposal,"zjoar, govnbxb, vjsx, hfnylgv, ycglik, dvpe"
313,Project 313 Title,True,True,False,MIT,"ARTIFICIAL, INTRO, COLLECTIVE","Female leadership, LGBTQ leadership",Canada,"CONSTRUCTION, SOLIDARITY","Sub-Saharan Africa, Asia",Image or Drawing,"Complete, published or exhibited before","luhpzevv, pcvg, smzh, urfz, pgysa, kxxnyhuvv"
314,Project 314 Title,True,True,False,MIT,"INTRO, ARTIFICIAL INTELLIGENCE","Under 35 years old, Student leadership, Disability perspective",UK,CARBON,Caribbean,"Video, Image or Drawing",Preliminary Proposal,"ffyluglx, ymkazqp, aitrbkrog, bhsxcmsmlr, eiylelad, hvugqdgtei, shaf, mnketlqg, yhirk, odqrluxuhh"
315,Project 315 Title,True,True,False,Stanford University,ARTIFICIAL INTELLIGENCE,"Student leadership, Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective",China,"CONSTRUCTION, TRADITION",Caribbean,"Outdoor Installation, Other","Complete, unpublished","zjdnohb, bgludcp, ylqzjicg, mhon, dxizbqe, tjmlshw, vlikviyxb"
316,Project 316 Title,True,True,False,INDEPENDENT,"INTRO, OUT",Student leadership,Australia,"COMMONS, TECHNOLOGY, DIGITAL",Sub-Saharan Africa,Image or Drawing,Preliminary Proposal,"paseaxe, emxtdyrep, mvinu, cxektdhqh, uomwjssj, qvyug, dpttzn"
317,Project 317 Title,True,True,False,Harvard University,END,"Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective, Student leadership",Brazil,CONSTRUCTION,Central America,"Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","oqehxgmsos, zzkud, jglffvcnuv"
318,Project 318 Title,True,True,False,Oxford University,"INTRO, ARTIFICIAL, NATURAL","Female leadership, Under 35 years old, Student leadership",Brazil,"ECOLOGY, LOGISTICS, CARE",Europe,Image or Drawing,In Progress,"koqa, niwp, pnsl, kkvdcspxi"
319,Project 319 Title,True,True,False,Stanford University,"ARTIFICIAL INTELLIGENCE, ARTIFICIAL","Student leadership, Under 35 years old",Brazil,"PRACTICE, CARE, PUBLIC",Oceania,"Model or Maquette, Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","gcdc, bflefq, mjdrqqeow, sklpbeng"
320,Project 320 Title,True,True,False,Oxford University,"COLLECTIVE, NATURAL, OUT","Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",China,COMMONS,Outer Space,"Video, Exhibition","Complete, published or exhibited before","idoufs, muyyqyzq, yidkhl, qbofns, idthagxd, hwdmdtnjx, vtrnyzvum, vupmtojnqd, qpladerv"
321,Project 321 Title,True,True,False,INDEPENDENT,"ARTIFICIAL INTELLIGENCE, OUT","Female leadership, Under 35 years old, Student leadership",UK,URBAN,"Oceania, Caribbean","Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"ecucttac, gdaik, zvnqtoa, afrk, ujxruioinx, qzrlixf, dtoydourg, qkbazwde"
322,Project 322 Title,True,True,False,INDEPENDENT,NATURAL,Under 35 years old,South Africa,"TERRITORY, PRACTICE","Non-Spatial or Dislocated, Outer Space",Other,Preliminary Proposal,"vcjss, yodw, yudjh, lpgzpuxy"
323,Project 323 Title,True,True,False,MIT,"OUT, NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE","Student leadership, Insights from the Global South",India,"CARBON, LABOR","Central America, Oceans, Ice, and Atmosphere","Essay, Other",In Progress,"lsejlw, vlqxqtl, euozvu"
324,Project 324 Title,True,True,False,Stanford University,INTRO,"Under 35 years old, Disability perspective, Female leadership",South Africa,"WASTE, URBAN, CONSTRUCTION","South America, Middle East and North Africa",Panel or Event,In Progress,"vikopau, cqngrziwxr, juaihqxoll, ounslhedm, nrojozwr, omrhjzdvi, pywlweswgc, pdar"
325,Project 325 Title,True,True,False,Harvard University,OUT,"Under 35 years old, Insights from the Global South",Japan,"DIGITAL, TRADITION, CARBON",North America,"Model or Maquette, Essay",Preliminary Proposal,"swlnunnmit, pzjsxx, zpzcm, wminao, vehqfpulct"
326,Project 326 Title,True,True,False,INDEPENDENT,"OUT, ARTIFICIAL, NATURAL",Student leadership,Canada,"CARBON, METHOD",Planetary,"Essay, Panel or Event",Preliminary Proposal,"kwqrrgvdk, gvfio, ftnkqug, kidvuzsrxc, lbnnplswke, ozfldhgffb, bixwkm, diepzed, mhfodojka, kwkhue"
327,Project 327 Title,True,True,False,MIT,COLLECTIVE INTELLIGENCE,"Under 35 years old, Insights from the Global South",Germany,TERRITORY,"Caribbean, Asia",Exhibition,In Progress,"jaeufx, jhftuuvcyi, stplabrde, pmxkx, beotpnryl, txukr"
328,Project 328 Title,True,True,False,Oxford University,COLLECTIVE,"Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old",UK,SCIENCE,"Asia, Planetary",Panel or Event,Preliminary Proposal,"mhqfn, mpctpzamgj, yympk, lormumwx, yysween, gdkgfs, zocpiunjev, ybhllysw, mqydeqtj, czkm"
329,Project 329 Title,True,True,False,INDEPENDENT,NATURAL INTELLIGENCE,Under 35 years old,UK,TECHNOLOGY,"Central America, South America",Exhibition,Preliminary Proposal,"mortbh, zbncnei, pquh"
330,Project 330 Title,True,True,False,Oxford University,"OUT, NATURAL","Transnational (immigrant, refugee, multicultural) perspective, Insights from the Global South",USA,"COMMONS, LABOR, SOLIDARITY","South America, Oceans, Ice, and Atmosphere","Essay, Exhibition","Complete, published or exhibited before","erpvsit, tknhy, vquiki, lwnuvcb, cnkeo"
331,Project 331 Title,True,True,False,Stanford University,INTRO,"Transnational (immigrant, refugee, multicultural) perspective",Australia,WASTE,Sub-Saharan Africa,Image or Drawing,"Complete, published or exhibited before","khgwlly, hzwnlh, iyrqekx, aakv, wmmzrd, jsti, rlielsb"
332,Project 332 Title,True,True,False,Oxford University,"OUT, NATURAL INTELLIGENCE","Female leadership, LGBTQ leadership, Transnational (immigrant, refugee, multicultural) perspective",India,"ENERGY, TECHNOLOGY, BODY","Middle East and North Africa, Planetary","Image or Drawing, Exhibition","Complete, unpublished","hgreipqaz, xkypbslu, prfpcdv, nrwk, wylgutu, pswbwjfx, rdsglxo"
333,Project 333 Title,True,True,False,Stanford University,"NATURAL, OUT, NATURAL INTELLIGENCE","Insights from the Global South, Transnational (immigrant, refugee, multicultural) perspective, Female leadership",South Africa,"CARBON, CARE","Oceans, Ice, and Atmosphere, Middle East and North Africa","Outdoor Installation, Video",Preliminary Proposal,"djsjoozif, vdasrcsh, vkzrxnefi, mzjpbzkff"
334,Project 334 Title,True,True,False,Stanford University,"INTRO, END","Female leadership, Transnational (immigrant, refugee, multicultural) perspective",Brazil,"ENERGY, EDUCATION",Oceania,"Exhibition, Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","luuthajrj, cddn, vrwhiuxi, tnbu, oftwrc, kubo, fohbpodjw, krinmdauid, hqyrysop"
335,Project 335 Title,True,True,False,Harvard University,"END, INTRO, NATURAL INTELLIGENCE",Under 35 years old,USA,"CARE, PUBLIC",Asia,Other,"Complete, published or exhibited before","yyfaa, zvidurpmum, rafulgkj, uumcfrvolu, uoknyylbdw, nzlqrdb, abktxjra, wdmjjo, clitqx, ymvjgdkpk"
336,Project 336 Title,True,True,False,Oxford University,OUT,Insights from the Global South,China,"TRADITION, CARBON, LOGISTICS",Central America,Essay,In Progress,"xlchynupk, hiix, xjkqj, pbgffbior, teloapjvac, bazrtd, epahp, cqwuth, calejwgj"
337,Project 337 Title,True,True,False,INDEPENDENT,COLLECTIVE,"Female leadership, Under 35 years old",Canada,"CONSTRUCTION, BODY","Oceans, Ice, and Atmosphere",Panel or Event,Preliminary Proposal,"tvznqm, usin, fhnwkqdcgi, fighiar, hcmzog, dfqah"
338,Project 338 Title,True,True,False,Stanford University,"ARTIFICIAL, COLLECTIVE INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective",Canada,TECHNOLOGY,"South America, North America","Other, Image or Drawing","Complete, unpublished","ndmkh, gpdovtbh, eegqldxv, ajgi, lsrgf, vbdvwe, xbfauq, wpimfybnh, uhnb, gfbntnmzon"
339,Project 339 Title,True,True,False,MIT,"END, INTRO",Disability perspective,UK,"WASTE, TECHNOLOGY","Outer Space, Oceans, Ice, and Atmosphere","Video, Exhibition","Complete, published or exhibited before","cfzxvjqbz, snvpc, otnafuj, hpyomydzrw, avll"
340,Project 340 Title,True,True,False,Stanford University,"COLLECTIVE INTELLIGENCE, NATURAL INTELLIGENCE","Female leadership, LGBTQ leadership",USA,"LOGISTICS, EDUCATION, URBAN",Oceania,"Video, Other","Complete, unpublished","svavzsh, hafc, vrbkmq, nlbar"
341,Project 341 Title,True,True,False,Stanford University,"ARTIFICIAL INTELLIGENCE, INTRO, ARTIFICIAL","Insights from the Global South, Female leadership",UK,"JUSTICE, EDUCATION",Oceania,Image or Drawing,"Complete, published or exhibited before","vvhm, tafqxufu, nlcia, rzbfok, bchc, ylhek, zvxsvkmulm, lafzic"
342,Project 342 Title,True,False,False,Stanford University,NATURAL,"Student leadership, Transnational (immigrant, refugee, multicultural) perspective",USA,"BODY, PRACTICE","Asia, Outer Space",Model or Maquette,Preliminary Proposal,"llvudktaqt, fucgnebq, lzzgu, gdvwmyrvo, iyxgcm, yyfjvnhbx, oeip, jrfhubccke"
343,Project 343 Title,True,False,False,Stanford University,"END, ARTIFICIAL, INTRO","Student leadership, Under 35 years old",China,"LABOR, EDUCATION, SCIENCE",South America,Panel or Event,"Complete, unpublished","blmfwoech, abhxcj, rzrntd, tlysvq, colv, dgvpodlde, lrgokztqjh, bdgmj, gpqyd, xpzcbiwds"
344,Project 344 Title,True,False,False,Harvard University,"COLLECTIVE INTELLIGENCE, INTRO","Transnational (immigrant, refugee, multicultural) perspective",UK,"ENERGY, KNOWLEDGE, CARE",Non-Spatial or Dislocated,"Augmented Reality, Virtual Reality, or other Experience, Video",Preliminary Proposal,"asecty, rclqs, ctmn, lenzbnq, uzewxsdk, ubrmyitev"
345,Project 345 Title,True,False,False,Harvard University,OUT,Insights from the Global South,South Africa,"LABOR, TERRITORY, TECHNOLOGY",Middle East and North Africa,"Image or Drawing, Outdoor Installation",Preliminary Proposal,"fctpvzayr, pfvlr, wcdtb, sjzrc, bebuan"
346,Project 346 Title,True,False,False,Stanford University,"INTRO, ARTIFICIAL INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective",India,"LOGISTICS, PRACTICE, SCIENCE","Planetary, Non-Spatial or Dislocated","Image or Drawing, Augmented Reality, Virtual Reality, or other Experience",In Progress,"ljfzqxchps, sqdufnz, ppsy, kvdhcq, qdgcowgn, iebelocsi, ittcedpbsf, gcthutk, mvfl, fqoqw"
347,Project 347 Title,True,False,False,Harvard University,"COLLECTIVE INTELLIGENCE, COLLECTIVE","LGBTQ leadership, Transnational (immigrant, refugee, multicultural) perspective, Female leadership",Japan,"URBAN, TECHNOLOGY, PRACTICE",Europe,"Image or Drawing, Video",Preliminary Proposal,"yklpnk, ptgy, vnzdurpgjt, xjghsisr, oxmsethnc, bgzc, eftkbnlr"
348,Project 348 Title,True,False,False,Stanford University,"ARTIFICIAL INTELLIGENCE, ARTIFICIAL",Student leadership,Australia,"CARBON, TERRITORY",Europe,"Video, Essay",In Progress,"pdbvmqptuh, rotshbcbna, ftvsyj, vxuu, bpyisybs"
349,Project 349 Title,True,False,False,MIT,ARTIFICIAL INTELLIGENCE,Student leadership,India,"TECHNOLOGY, URBAN, ENERGY","Outer Space, Middle East and North Africa",Exhibition,Preliminary Proposal,"cpadjabd, nmbxshtwfy, edjuhstjin, yvsyjwikj, mwtajx, gdsvqasoit, fmrcgd, ljsbb, uvboodokb"
350,Project 350 Title,True,False,False,MIT,"NATURAL, NATURAL INTELLIGENCE","Insights from the Global South, LGBTQ leadership",China,TRADITION,North America,Exhibition,"Complete, unpublished","gxmh, tetpltckgy, gvwzhux, nynhyxaz, bioss, dyrp, rvyvocu, psfutkxgj, cryqfowd"
351,Project 351 Title,True,False,False,Oxford University,"ARTIFICIAL INTELLIGENCE, END",Insights from the Global South,China,BODY,"Non-Spatial or Dislocated, Oceania",Video,"Complete, unpublished","wifxijfyvy, dfpbyizao, wgrjko"
352,Project 352 Title,True,False,False,Oxford University,"END, ARTIFICIAL, ARTIFICIAL INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective, Disability perspective, LGBTQ leadership",Australia,LOGISTICS,Europe,"Other, Essay",In Progress,"uazqhaw, aokxrhya, ilctoyaahm, wsftomw"
353,Project 353 Title,True,False,False,Oxford University,"INTRO, ARTIFICIAL",LGBTQ leadership,China,"KNOWLEDGE, LOGISTICS, CARE","Sub-Saharan Africa, Oceania","Model or Maquette, Image or Drawing","Complete, published or exhibited before","ledal, ffsgzkliv, gbyaqegkbi, mfxvtjzj, phiwpiph"
354,Project 354 Title,True,False,False,Harvard University,"OUT, ARTIFICIAL INTELLIGENCE, COLLECTIVE INTELLIGENCE","Disability perspective, Transnational (immigrant, refugee, multicultural) perspective",India,"BIOMIMICRY, LOGISTICS",Asia,Panel or Event,In Progress,"yvjusldbuy, msvx, tokipd, lwdr, fzdfws, fhach, khybpq, zosirttoph, ojbrl"
355,Project 355 Title,True,False,False,Stanford University,"ARTIFICIAL INTELLIGENCE, ARTIFICIAL","Student leadership, Under 35 years old",India,"CARE, COMMONS","Outer Space, Caribbean",Image or Drawing,Preliminary Proposal,"mwfbjr, ccnshm, zjotl, pfpr, plvoqicjp, oyvoe, cpvszagm, zeecpiuzn"
356,Project 356 Title,True,False,False,Oxford University,OUT,"Student leadership, Female leadership",USA,SCIENCE,"Central America, South America",Other,"Complete, published or exhibited before","wlwrssyek, ktbkkr, eckgb, fxsr, qfnmljv, obybsscn"
357,Project 357 Title,True,False,False,Harvard University,ARTIFICIAL,Under 35 years old,USA,LOGISTICS,"Oceans, Ice, and Atmosphere, South America",Video,"Complete, unpublished","grop, jfltrlafb, jxbrmuemul, gdacty, fgmuqo"
358,Project 358 Title,True,False,False,Stanford University,ARTIFICIAL INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective",Japan,PUBLIC,North America,"Other, Image or Drawing","Complete, unpublished","bkuao, fykqrbp, xckadwu, elqf, whoxourkl, mouczltz, wwzugco, gtslsapm, juoopagw, smtinlqjwc"
359,Project 359 Title,True,False,False,INDEPENDENT,ARTIFICIAL INTELLIGENCE,"Under 35 years old, Student leadership, LGBTQ leadership",South Africa,COMMONS,"Oceans, Ice, and Atmosphere","Exhibition, Video","Complete, unpublished","sguaq, ngiuvptr, nlmsovgny, ojxidjjg, nayvx, acexeewybp, dkxno, ficfifymzs"
360,Project 360 Title,True,False,False,MIT,"COLLECTIVE, INTRO","Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old, Disability perspective",Brazil,"WASTE, URBAN","Oceans, Ice, and Atmosphere","Exhibition, Panel or Event",Preliminary Proposal,"aeoxqvqxb, dlfdujao, jhkgaabgy"
361,Project 361 Title,True,False,False,MIT,NATURAL INTELLIGENCE,Female leadership,USA,"COMMONS, CONSTRUCTION, CARBON",Sub-Saharan Africa,Other,"Complete, unpublished","xuehnfv, hzgdker, rpnxg"
362,Project 362 Title,True,False,False,Stanford University,"OUT, INTRO","Insights from the Global South, Under 35 years old",Australia,"CARBON, TECHNOLOGY","Europe, Caribbean",Video,Preliminary Proposal,"yzloxl, xsmqagosg, bbeatgzcwg, zdjf, dkrohnu, rlcqcfvur, jslx, erczvw, sbmy, emxltt"
363,Project 363 Title,True,False,False,Harvard University,"OUT, COLLECTIVE INTELLIGENCE","Disability perspective, LGBTQ leadership, Under 35 years old",UK,ECOLOGY,South America,Video,"Complete, unpublished","rrjnhcnozt, snzowg, yznzmsiyx, wulksxk, jrdlqbx, wxolnoupi"
364,Project 364 Title,True,False,False,MIT,NATURAL INTELLIGENCE,LGBTQ leadership,South Africa,SCIENCE,"Outer Space, Europe","Video, Outdoor Installation",In Progress,"rkjbr, wkhbdey, aaux, yzvpw, avuedlfg, xwyhs, nxapqvlxw"
